date,SQUAT,BENCH,DEADLIFT
07-21-2013,160,x,x
07-22-2013,x,x,x
07-23-2013,x,140,x
07-24-2013,x,140,x
07-25-2013,176,x,x
07-28-2013,x,x,x
07-29-2013,x,x,x
08-01-2013,120,x,x
08-03-2013,x,x,x
08-08-2013,120,x,x
08-10-2013,120,x,x
08-11-2013,110,x,250
08-12-2013,110,x,250
08-19-2013,x,x,x
08-20-2013,x,x,180
08-26-2013,120,x,x
08-28-2013,x,x,x
08-31-2013,176,x,x
09-02-2013,x,6,x
09-04-2013,x,x,6
09-09-2013,x,140,x
09-11-2013,x,x,230
09-13-2013,x,x,x
09-16-2013,x,x,x
09-18-2013,x,x,x
09-20-2013,x,x,x
09-21-2013,x,x,x
09-22-2013,x,x,x
09-24-2013,140,120,x
09-25-2013,x,x,290
09-27-2013,176,x,x
09-28-2013,176,x,x
09-30-2013,110,x,x
10-01-2013,x,90,x
10-03-2013,x,x,200
10-05-2013,x,x,x
10-07-2013,110,x,x
10-08-2013,100,115,x
10-10-2013,x,x,x
10-11-2013,x,x,x
10-13-2013,x,125,x
10-14-2013,100,x,x
10-15-2013,x,x,x
10-16-2013,x,x,x
10-17-2013,x,x,0
10-18-2013,x,x,x
10-19-2013,176,x,x
10-21-2013,x,x,x
10-22-2013,x,95,x
10-23-2013,x,x,220
10-27-2013,176,x,x
10-28-2013,x,x,x
10-29-2013,x,x,x
10-30-2013,x,x,x
10-31-2013,x,x,x
11-01-2013,x,x,x
11-02-2013,x,x,x
11-04-2013,x,x,x
11-05-2013,x,120,x
11-06-2013,x,x,200
11-09-2013,176,x,x
11-10-2013,x,x,200
11-11-2013,x,x,x
11-12-2013,x,x,x
11-14-2013,x,x,x
11-15-2013,x,x,x
11-18-2013,170,x,x
11-22-2013,x,657,x
11-23-2013,x,x,x
11-25-2013,115,x,x
11-26-2013,x,115,x
11-27-2013,x,x,140
11-28-2013,x,x,140
11-29-2013,x,x,x
12-01-2013,176,x,x
12-02-2013,x,x,x
12-03-2013,30,x,x
12-04-2013,x,x,x
12-05-2013,x,x,x
12-09-2013,100,x,x
12-11-2013,125,x,x
12-13-2013,x,x,230
12-14-2013,x,x,x
12-16-2013,150,x,x
12-17-2013,x,x,x
12-18-2013,x,x,x
12-19-2013,x,x,x
12-22-2013,176,x,x
12-23-2013,x,170,x
12-24-2013,120,x,x
12-28-2013,x,x,x
12-29-2013,x,x,x
12-30-2013,x,120,x
12-31-2013,x,120,x
01-02-2014,3,x,170
01-05-2014,x,x,x
01-06-2014,x,x,x
01-08-2014,x,x,x
01-09-2014,x,x,x
01-11-2014,x,x,x
01-12-2014,x,x,x
01-13-2014,x,x,x
01-14-2014,x,x,x
01-15-2014,x,x,x
01-16-2014,x,x,x
01-18-2014,x,x,x
01-19-2014,140,x,x
01-21-2014,150,x,x
01-22-2014,x,x,x
01-24-2014,x,x,x
01-25-2014,x,x,x
01-27-2014,160,x,x
01-28-2014,x,x,x
01-29-2014,x,x,x
01-30-2014,x,1000,x
02-01-2014,x,1000,x
02-03-2014,x,x,x
02-04-2014,x,x,x
02-05-2014,x,x,x
02-06-2014,x,x,x
02-08-2014,x,x,x
02-09-2014,x,x,x
02-10-2014,160,x,x
02-11-2014,x,160,x
02-12-2014,x,x,x
02-15-2014,x,x,x
02-19-2014,x,x,x
02-20-2014,x,x,305
02-21-2014,x,x,x
02-23-2014,190,x,x
02-24-2014,200,x,x
02-26-2014,x,x,0
02-27-2014,140,x,x
03-01-2014,180,x,x
03-03-2014,x,x,x
03-05-2014,x,x,x
03-07-2014,x,100,x
03-09-2014,180,x,x
03-14-2014,x,x,x
03-15-2014,x,x,x
03-17-2014,x,x,x
03-19-2014,x,x,250
03-20-2014,90,100,x
03-23-2014,150,x,x
03-24-2014,x,x,x
03-27-2014,x,x,x
03-28-2014,x,x,x
03-29-2014,x,x,x
03-30-2014,176,x,x
04-13-2014,x,x,x
04-14-2014,x,x,x
04-18-2014,x,x,x
04-22-2014,x,x,x
04-24-2014,x,x,x
04-26-2014,x,x,x
04-27-2014,176,x,x
04-29-2014,x,x,x
05-01-2014,x,x,x
05-04-2014,x,x,x
05-06-2014,x,x,x
05-08-2014,x,x,x
05-12-2014,x,x,x
05-14-2014,x,x,x
05-16-2014,x,x,x
05-18-2014,x,x,x
05-20-2014,x,x,x
05-21-2014,x,x,x
05-23-2014,x,x,x
05-25-2014,x,x,x
05-26-2014,x,x,x
05-28-2014,x,x,x
05-30-2014,x,x,x
06-02-2014,160,x,x
06-03-2014,140,x,x
06-05-2014,150,x,x
06-08-2014,160,x,x
06-09-2014,170,x,x
06-13-2014,145,x,x
06-16-2014,140,x,x
06-19-2014,160,x,x
06-22-2014,x,x,x
06-25-2014,x,x,x
06-26-2014,x,45,45
06-30-2014,x,45,45
07-02-2014,120,x,x
07-03-2014,x,50,x
07-05-2014,x,x,x
07-06-2014,x,x,50
07-08-2014,x,70,x
07-09-2014,x,70,x
07-11-2014,105,x,x
07-13-2014,x,x,65
07-17-2014,x,x,x
07-18-2014,x,x,5
07-20-2014,140,x,80
07-23-2014,x,x,x
07-28-2014,8,x,x
07-30-2014,x,x,x
07-31-2014,6,x,x
08-03-2014,x,x,x
08-04-2014,x,x,x
08-07-2014,x,x,120
08-08-2014,x,x,x
08-09-2014,x,x,x
